,title,title_label
0,시민 만족도  위 따릉이  대여소는 폐쇄 요청 봇물 왜 ,0
1,회원  만 만족도   따릉이  적자 비켜나세요  따르릉 ,0
2,서울시   따릉이  광고사업 시범 운영  만년 적자 해결할까,0
3, 년 새  배  인기 폭발 따릉이 예산 정비는 그대로 ,1
4,서울시민 공유활동 활발 만족도는 따릉이 가 가장 높아,0
5,서울시  따릉이  시민  명 중  명은 탄다  누적 이용  억 건 눈앞,0
6,서울시 공유정책  만족도  위는  따릉이 재능공유 활성화 필요해,0
7,서울시 공유정책 만족도  위는  따릉이 ,0
8,박원순도 오세훈도  따릉이 엔 진심 서울 시민의  발  된 따릉이,0
9, 만명이 애용하는  따릉이  앱 성능 향상 나선다,0
10,공공자전거  만 시대   시민만족도  위 에도 확산은 더뎌  스토리 ,0
11, 우리도 타고싶어요   살 따릉이가 성공한 이유,1
12, 부천시민도 타고 싶어요 지구  바퀴 누빈 서울 따릉이,0
13, 국감브리핑  따릉이  억 적자 기업광고 유치도 빨간불,0
14, 데스크 시각  더 힘차게 달려라 따릉이 이창구 전국부장,1
15, 국감 핫이슈   억 적자  따릉이 수익 낼 기업광고 유치도  빨간불 ,0
16, 만족도  위  따릉이 직원들은  에 분노한다,0
17,따릉이를 탑니다  국가의 역할을 생각합니다,1
18,서울시 서울시설공단  따릉이 광고 시범 도입,0
19,결제 먹통에 로그인 오류 길에서 시간 날리는 따릉이  앱 ,0
20,서울시 공유자전거  따릉이  만족도   이상,1
21,페달로 따릉이 비켜나세요 따릉따릉 잘나가는 카카오 바이크,0
22,서울시민들 따릉이 사랑 무한대로 늘려 주세요 ,1
23, 세대  고물가 극복은 한솥도시락과 따릉이로 한다,1
24, 정영재   따릉이가 바꾼 서울 풍경,1
25,서울시민 만족도  위 공유정책은 공공자전거  따릉이 ,0
26, 저임금 노동 에  억 적자  따릉이 나 계속 달릴 수 있죠 ,0
27,출범  년 서울시  따릉이  만족도 대체로 높아,0
28,지난해만  억 적자  따릉이 계속 달릴 수 있을까 ,0
29, 따릉이  서울 공유정책 인지도  위,0
30,서울시민에게 친숙해진  공유 정책 서비스 명 중  명  따릉이 알아 ,0
31,서울시   따릉이 연말부터 광고 달고 달린다 ,0
32,서울시  따릉이  올연말 기업광고 달고 달린다 수익구조 다변화해 운영효율 ,1
