,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,대여일자,대여소번호,대여소,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
0,0,0,0,0,0,0,'2017-11','108',' 서교동 사거리','정기','F','~10대',5,267.66,2.14,9240,112
1,1,1,1,1,1,1,'2017-11','503',' 더샵스타시티 C동 앞','정기','F','~10대',1,0.0,0.0,0,31
2,2,2,2,2,2,2,'2017-11','504',' 신자초교입구교차로','정기','F','~10대',2,105.73,0.82,3560,35
3,3,3,3,3,3,3,'2017-11','505',' 자양사거리 광진아크로텔 앞','정기','F','~10대',1,31.4,0.28,1220,19
4,4,4,4,4,4,4,'2017-11','1031',' 암사동 CBIS','정기','F','~10대',6,192.05,1.92,8220,59
5,5,5,5,5,5,5,'2017-11','1032',' 선사고등학교','정기','F','~10대',4,144.6,1.27,5450,51
6,6,6,6,6,6,6,'2017-11','1033',' 고덕동 아남아파트','정기','F','~10대',11,965.28,8.9,38380,299
7,7,7,7,7,7,7,'2017-11','1036',' 고덕동 주양쇼핑','정기','F','~10대',5,520.2,4.69,20210,107
8,8,8,8,8,8,8,'2017-11','1042','5단지 사이','정기','F','~10대',2,49.94,0.45,1940,29
9,9,9,9,9,9,9,'2017-11','509',' 이마트 버스정류소 옆','정기','F','~10대',5,90.32,1.11,4780,76
10,10,10,10,10,10,10,'2017-11','510',' 서울숲 남문 버스정류소 옆','정기','F','~10대',2,119.68,1.35,5810,75
11,11,11,11,11,11,11,'2017-11','1253',' 오금역 3번 출구 뒤','정기','F','~10대',1,63.32,0.57,2460,41
12,12,12,12,12,12,12,'2017-11','1259',' 방이역 1번출구','정기','F','~10대',1,26.0,0.23,1010,8
13,13,13,13,13,13,13,'2017-11','511',' 서울숲역 4번 출구 옆','정기','F','~10대',4,340.8,3.07,13240,72
14,14,14,14,14,14,14,'2017-11','1269',' 리센츠아파트 ','정기','F','~10대',1,23.32,0.22,950,7
15,15,15,15,15,15,15,'2017-11','512',' 뚝섬역 1번 출구 옆','정기','F','~10대',12,797.9,7.34,31660,202
16,16,16,16,16,16,16,'2017-11','109',' 제일빌딩 앞','정기','F','~10대',2,163.65,1.66,7170,114
17,17,17,17,17,17,17,'2017-11','1527',' 미아역 1번 출구 뒤','정기','F','~10대',1,12.4,0.08,360,1
18,18,18,18,18,18,18,'2017-11','1530',' 광산사거리','정기','F','~10대',1,33.66,0.39,1700,15
19,19,19,19,19,19,19,'2017-11','513',' 뚝섬역 5번 출구 정류소 옆','정기','F','~10대',4,251.86,2.39,10330,85
20,20,20,20,20,20,20,'2017-11',,,'정기','F','~10대',1,74.61,0.73,3140,25
21,21,21,21,21,21,21,'2017-11','514',' 성수사거리 버스정류장 앞','정기','F','~10대',4,167.85,1.52,6560,46
22,22,22,22,22,22,22,'2017-11','1655',' 공릉1단지아파트','정기','F','~10대',1,67.95,0.61,2640,34
23,23,23,23,23,23,23,'2017-11','515',' 광양중학교 앞','정기','F','~10대',3,356.26,3.08,13230,64
24,24,24,24,24,24,24,'2017-11','516',' 광진메디칼 앞','정기','F','~10대',4,321.36,2.9,12500,74
25,25,25,25,25,25,25,'2017-11','300',' 정동사거리','정기','F','~10대',8,367.43,3.15,13570,95
26,26,26,26,26,26,26,'2017-11','301',' 경복궁역 7번출구 앞','정기','F','~10대',13,554.51,5.06,21800,148
27,27,27,27,27,27,27,'2017-11','302',' 경복궁역 4번출구 뒤','정기','F','~10대',2,67.41,0.71,3040,50
28,28,28,28,28,28,28,'2017-11','115',' 사루비아 빌딩 앞','정기','F','~10대',1,105.02,0.9,3900,37
29,29,29,29,29,29,29,'2017-11','304',' 광화문역 2번출구 앞','정기','F','~10대',1,33.72,0.3,1310,9
30,30,30,30,30,30,30,'2017-11','1338',' 용문2교 옆','정기','F','~10대',1,195.98,1.64,7070,66
31,31,31,31,31,31,31,'2017-11','305',' 종로구청 옆','정기','F','~10대',19,462.6,4.85,20860,201
32,32,32,32,32,32,32,'2017-11','306',' 광화문역 7번출구 앞','정기','F','~10대',2,61.19,0.52,2230,28
33,33,33,33,33,33,33,'2017-11','310',' 청계광장 옆','정기','F','~10대',5,111.43,1.05,4510,36
34,34,34,34,34,34,34,'2017-11','311',' 서울광장 옆','정기','F','~10대',1,102.45,0.92,3980,34
35,35,35,35,35,35,35,'2017-11','312',' 시청역 1번출구 뒤','정기','F','~10대',7,141.1,1.2,5160,39
36,36,36,36,36,36,36,'2017-11','313',' 서울역 광장 파출소 옆','정기','F','~10대',13,536.64,4.48,19360,100
37,37,37,37,37,37,37,'2017-11','314',' 국립현대미술관','정기','F','~10대',4,190.55,1.77,7690,68
38,38,38,38,38,38,38,'2017-11','315',' 신한은행 안국역지점 옆','정기','F','~10대',23,796.7,7.17,30820,277
39,39,39,39,39,39,39,'2017-11','316',' 종각역 1번출구 앞','정기','F','~10대',5,242.55,2.23,9590,86
40,40,40,40,40,40,40,'2017-11','116',' 일진아이윌아파트 옆','정기','F','~10대',1,48.3,0.5,2140,38
41,41,41,41,41,41,41,'2017-11','324',' 신세계백화점 본점 앞','정기','F','~10대',1,149.11,1.3,5620,39
42,42,42,42,42,42,42,'2017-11','326',' 안국역 5번출구 앞','정기','F','~10대',7,418.76,3.57,15320,105
43,43,43,43,43,43,43,'2017-11','327',' 낙원상가 옆','정기','F','~10대',2,97.56,0.88,3790,33
44,44,44,44,44,44,44,'2017-11','328',' 탑골공원 앞','정기','F','~10대',5,315.81,2.91,12580,114
45,45,45,45,45,45,45,'2017-11','330',' 청계천 한빛광장','정기','F','~10대',1,74.13,0.67,2880,29
46,46,46,46,46,46,46,'2017-11','111',' 상수역 2번출구 앞','정기','F','~10대',3,97.31,1.02,4430,96
47,47,47,47,47,47,47,'2017-11','334',' 종로3가역 2번출구 뒤','정기','F','~10대',4,138.32,1.25,5410,46
48,48,48,48,48,48,48,'2017-11','335',' 종로3가역 15번출구 앞','정기','F','~10대',1,33.26,0.28,1200,10
49,49,49,49,49,49,49,'2017-11','337',' 창경궁 입구','정기','F','~10대',6,97.43,0.97,4170,42
50,50,50,50,50,50,50,'2017-11','338',' 세운스퀘어 앞','정기','F','~10대',2,29.72,0.3,1270,7
51,51,51,51,51,51,51,'2017-11','339',' 종로4가 사거리','정기','F','~10대',4,151.36,1.48,6400,43
